,category,city,name,rating,review,review_count,snippet_text,time_created,uid,urating
henrys-hunan-restaurant-san-francisco-7,Chinese,San Francisco,Henry's Hunan Restaurant,4.0,"Best Chinese food you'll find in the city. 
The service is not always great but food arrives fast and it's worth sitting through. 
Get the meat pie as an...",204.0,"Best Chinese food you'll find in the city. 
The service is not always great but food arrives fast and it's worth sitting through. 
Get the meat pie as an...",1489857796.0,VGYc5dVU6D0CXpK16NZdIw,5.0
san-tung-san-francisco-2,Chinese,San Francisco,San Tung,4.0,"Good chicken wings .
You have to wait in line for a few minutes.
They also have very good and fresh noodle.",5403.0,My favorite wings place! The dry fried chicken wings are so crispy and flavorful!! It's embarrassing how often I used to come here when I worked nearby...,1490305295.0,yTmDMsCe1ZQDVoanAupoHw,5.0
chong-qing-xiao-mian-san-francisco,Chinese,San Francisco,Chong Qing Xiao Mian,4.0,"Sichuan spicy time! Their spiciness is much needed on a cold, foggy day in SF and whenever one is feeling like they need the numbness to the tongue that...",155.0,"Sichuan spicy time! Their spiciness is much needed on a cold, foggy day in SF and whenever one is feeling like they need the numbness to the tongue that...",1490291442.0,I-FmdvI28N7OIIt4JZOgIg,4.0
yummy-yummy-san-francisco,Chinese,San Francisco,Yummy Yummy,4.0,"Love their food. 

Asian beef carpaccio, chicken wings, bun bo hue, pho.. I visit very time I am in town.",1170.0,"Love their food. 

Asian beef carpaccio, chicken wings, bun bo hue, pho.. I visit very time I am in town.",1489436773.0,COSGqMKhVB4wPBkl2v3Now,5.0
yans-kitchen-san-francisco,Chinese,San Francisco,Yan's Kitchen,4.0,"This is one of those places, ""don't judge a book by it's cover."" Food was fantastic! Outside ignorable, only found this place through yelp reviews. Came...",400.0,"We had American version 
Orange chicken fried rice and spring rolls 
It was absolutely awesome this place is s hidden gem I'm very satisfied with the...",1483400638.0,YmcvaaWAb53q0XPGQgFKHA,4.0
sam-wo-restaurant-san-francisco-3,Chinese,San Francisco,Sam Wo Restaurant,4.0,"My mom always raved about this iconic place and was always disappointed when she would come to visit and it would be closed, so when I was pretty excited to...",374.0,"My mom always raved about this iconic place and was always disappointed when she would come to visit and it would be closed, so when I was pretty excited to...",1489376790.0,kY2IvXTFgam-vNCRTOj-yg,4.0
wok-shop-cafe-san-francisco,Chinese,San Francisco,Wok Shop Cafe,4.0,"This place is better than it has any right to be.

Wok Shop Cafe is a strange little Chinese place on Sutter.  It's really simple-looking - there's...",474.0,"This place is better than it has any right to be.

Wok Shop Cafe is a strange little Chinese place on Sutter.  It's really simple-looking - there's...",1486074032.0,YDss19FKlGBB1cB-9u4IcA,5.0
dumpling-kitchen-san-francisco,Chinese,San Francisco,Dumpling Kitchen,4.0,"This place is soo goooddd. People need to find out more about this place.

With my friends, we all ordered a Xiao Long Bao each. It's thin, juicy, and don't...",952.0,"This place is soo goooddd. People need to find out more about this place.

With my friends, we all ordered a Xiao Long Bao each. It's thin, juicy, and don't...",1489186835.0,sESmvI0BcWZinzv2DE8y2g,5.0
taste-of-jiangnan-san-francisco,Chinese,San Francisco,Taste of Jiangnan,4.0,"The atmosphere is nice. Very spacious. The staff pays attention to you. Felt like a library. With lots of artwork pieces. 

The cups all stack on the table...",145.0,"The atmosphere is nice. Very spacious. The staff pays attention to you. Felt like a library. With lots of artwork pieces. 

The cups all stack on the table...",1489246547.0,EIVVFmjGU5AtDYR0UBg-Kg,5.0
heung-yuen-restaurant-san-francisco,Chinese,San Francisco,Heung Yuen Restaurant,4.0,"Cheap, quick and dirty. Come here for giant potions of the greasy crispy tasty Chinese classics that may or may not taste better after a few drinks. The...",194.0,"Cheap, quick and dirty. Come here for giant potions of the greasy crispy tasty Chinese classics that may or may not taste better after a few drinks. The...",1485837289.0,c4wRqAEQqM-Eex-W3o2b6w,4.0
mister-jius-san-francisco,Chinese,San Francisco,Mister Jiu's,4.0,"i was pleasantly surprised by this place.  i don't usually eat much chinese food out, let alone, ""fancy"" chinese food.  my friend reserved this for a group...",194.0,"i was pleasantly surprised by this place.  i don't usually eat much chinese food out, let alone, ""fancy"" chinese food.  my friend reserved this for a group...",1490300730.0,Rx7DNBmPPShVjlcQidGuTw,4.0
terra-cotta-warrior-san-francisco,Chinese,San Francisco,Terra Cotta Warrior,4.0,The food was good but it's not a flavour profile that I'm used to (like Szechuan food). If you like sweet and spicy or shanxi food then this is probably...,287.0,The food was good but it's not a flavour profile that I'm used to (like Szechuan food). If you like sweet and spicy or shanxi food then this is probably...,1489371446.0,DDjm-yZONeldPHA-bs5s6Q,4.0
so-san-francisco-4,Chinese,San Francisco,SO,4.0,"So was SOOOO pretty good. Basically here's the rundown of what we got: some chicken wings (so good), some friend mushrooms (so exciting!), some spinach and...",1458.0,"So was SOOOO pretty good. Basically here's the rundown of what we got: some chicken wings (so good), some friend mushrooms (so exciting!), some spinach and...",1489351815.0,q4wDRjJPKWT6ieF7b680JQ,4.0
cheung-hing-san-francisco,Chinese,San Francisco,Cheung Hing,4.0,"I can see why this place always has a line, even at 3 pm on a weekday. Their Chinese BBQ is delicious!

Stopped by with my +1 who was raving about CH's...",503.0,"I can see why this place always has a line, even at 3 pm on a weekday. Their Chinese BBQ is delicious!

Stopped by with my +1 who was raving about CH's...",1488788208.0,lJXcdcL969f6AW25q0VGlw,5.0
kim-thanh-restaurant-san-francisco,Chinese,San Francisco,Kim Thanh Restaurant,4.0,"came here for a bday dinner.. a great chinese viet seafood place

ordered:
-salt pepper crab: so happy it's crab season

-ginger scallion lobster: they...",470.0,"came here for a bday dinner.. a great chinese viet seafood place

ordered:
-salt pepper crab: so happy it's crab season

-ginger scallion lobster: they...",1481956061.0,9yPITTB_nUpXkau8IqfPqQ,4.0
mandarin-house-sf-san-francisco,Chinese,San Francisco,Mandarin House SF,4.0,"I got the meatless general tsos chicken
So good! 
So glad I found this place
Greet service",90.0,"I got the meatless general tsos chicken
So good! 
So glad I found this place
Greet service",1485145736.0,xAU3QNRUBiSXCWbpq7XnDA,5.0
lai-hong-lounge-san-francisco,Chinese,San Francisco,Lai Hong Lounge,4.0,No wait as soon as the doors opened we rushed in to seat ourselves! It's different than how it is in Virginia so this was entertaining. We sat and then we...,511.0,No wait as soon as the doors opened we rushed in to seat ourselves! It's different than how it is in Virginia so this was entertaining. We sat and then we...,1489950747.0,9W3qYyPf1NUJddCLGayOlg,4.0
little-sheep-mongolian-hot-pot-san-francisco-4,Chinese,San Francisco,Little Sheep Mongolian Hot Pot,4.0,"I've been here twice and had a great experience both times. It's always so packed here, so make reservation!!! Service is not the best and they can...",303.0,"I've been here twice and had a great experience both times. It's always so packed here, so make reservation!!! Service is not the best and they can...",1489370697.0,lzdyQzxbmNxtKRZ3seip8g,4.0
kam-po-kitchen-san-francisco,Chinese,San Francisco,Kam Po Kitchen,4.0,Food is heaven! I had preggo craving so caught a uber here. I slurp down their beef stew wonton soup on 5 mins and ordered a rice place with 2 bbq items to...,312.0,Food is heaven! I had preggo craving so caught a uber here. I slurp down their beef stew wonton soup on 5 mins and ordered a rice place with 2 bbq items to...,1487106339.0,PYkeyaM9Ye64X-i98KuBsQ,4.0
dragon-beaux-san-francisco,Chinese,San Francisco,Dragon Beaux,4.0,"I think I've discovered my favorite dim sum spot in the Bay Area (at least so far)! Along with all of the traditional dishes, Dragon Beaux offers a menu...",651.0,"I think I've discovered my favorite dim sum spot in the Bay Area (at least so far)! Along with all of the traditional dishes, Dragon Beaux offers a menu...",1489961515.0,R7L6Fz8_SJuPJx3TqwzfTA,5.0
casa-flores-san-francisco,Italian,San Francisco,Casa Flores,5.0,We recently found this place while searching on yelp for really good Italian food in preparation for our San Francisco trip- and so glad we did! If you are...,62.0,"I got the opportunity to dine at ""Casa Flores"" through EatWith. If you're not familiar with the concept, it's basically a dinner party hosted by a...",1490315952.0,jxxRLFpBtwyY2FfRFZMRxg,5.0
sorrel-san-francisco-3,Italian,San Francisco,Sorrel,5.0,"One of my top 2 favorite meal experiences hands down.

This was based on the pasta tasting menu was one of the best meals I have ever had in my life. I only...",34.0,"One of my top 2 favorite meal experiences hands down.

This was based on the pasta tasting menu was one of the best meals I have ever had in my life. I only...",1486407226.0,LPDYJ9c6eGn1U4Snf2afng,5.0
piccolo-forno-san-francisco,Italian,San Francisco,Piccolo Forno,4.5,"I see people poke their head in and keep on walking and I want to tell them ""hey, hey, stop, this is the best spot you'll find"" but I'm always too busy...",188.0,"I see people poke their head in and keep on walking and I want to tell them ""hey, hey, stop, this is the best spot you'll find"" but I'm always too busy...",1488768479.0,DjZtjTmIhKwiWOV27O_5CQ,5.0
birba-san-francisco,Italian,San Francisco,Birba,4.5,"Bleu cheese stuffed dates, caprese, albondigas/meatballs, tuna toast

Everything we tried was fantastic.  Great vibe-not overly fancy but more of a classy,...",54.0,Stopped by for a quick lunch. the owner and their new chef both are really passionate about the food they are serving. They are serving pretty good sandwiches!,1473908737.0,IjxO-BCGq2NZyXnyGaV9vw,5.0
italian-homemade-company-san-francisco,Italian,San Francisco,Italian Homemade Company,4.5,Best Italian place in town!! And not just the pasta is awesome!! Piadina and cassone is delicious as well! Italian Home Made make fresh pasta every day and...,697.0,Best Italian place in town!! And not just the pasta is awesome!! Piadina and cassone is delicious as well! Italian Home Made make fresh pasta every day and...,1489208361.0,QgkgwPvK6ZgxqMzE2GHtTg,5.0
the-italian-homemade-company-san-francisco-6,Italian,San Francisco,The Italian Homemade Company,4.5,"You know you are in the right Italian spot if the workers there are yelling and speaking in Italian.
Before I write a yelp review and judge a place I like...",326.0,"You know you are in the right Italian spot if the workers there are yelling and speaking in Italian.
Before I write a yelp review and judge a place I like...",1489645818.0,qmLHm1JKGfYlAVggyjAkwA,5.0
acquerello-san-francisco,Italian,San Francisco,Acquerello,4.5,"Slightly overdue review, but better late than never, right? :)

We went to Acquerello while in SF a few months ago to celebrate hubby's birthday.  We've...",902.0,"Slightly overdue review, but better late than never, right? :)

We went to Acquerello while in SF a few months ago to celebrate hubby's birthday.  We've...",1488941667.0,46Ca-iWJGVcW_2H8sAqQlA,5.0
il-casaro-pizzeria-and-mozzarella-bar-san-francisco,Italian,San Francisco,Il Casaro Pizzeria & Mozzarella Bar,4.5,"Sunday, a little after lunch time, between 1-2PM. You walk into this cute cafe/restaurant where the wide windows let in plenty of sunlight. It smells...",598.0,"Sunday, a little after lunch time, between 1-2PM. You walk into this cute cafe/restaurant where the wide windows let in plenty of sunlight. It smells...",1488908028.0,u3heXTn23wDZFWq9-N0nHA,5.0
la-ciccia-san-francisco,Italian,San Francisco,La Ciccia,4.5,"Finally made it here! Some friends recommended this place and I'm glad they did. Here's the breakdown:

Food: baby octopus stew (5/5), spaghetti bottariga...",894.0,"Finally made it here! Some friends recommended this place and I'm glad they did. Here's the breakdown:

Food: baby octopus stew (5/5), spaghetti bottariga...",1488684360.0,azvfQkZ-6CkMjGYnsKdmTg,5.0
frascati-san-francisco,Italian,San Francisco,Frascati,4.5,"Damn, I was hoping to be the 1000th review (seems like we have been to this place that often) but will have to settle for what looks like the 1003rd review....",1012.0,"Damn, I was hoping to be the 1000th review (seems like we have been to this place that often) but will have to settle for what looks like the 1003rd review....",1486764132.0,d6b5ZXQKR4BxKN6KY2c_7A,5.0
albona-ristorante-istriano-san-francisco,Italian,San Francisco,Albona Ristorante Istriano,4.5,"How did this place slip my radar? We were looking for a spot close to our show at Bimbos, so took a chance. It is absolutely worth every 5 star rating. From...",588.0,"How did this place slip my radar? We were looking for a spot close to our show at Bimbos, so took a chance. It is absolutely worth every 5 star rating. From...",1479697506.0,sZdy2AQD0gn7RMAJcu48yg,5.0
vixi-cucina-italiana-san-francisco,Italian,San Francisco,Vixi Cucina Italiana,4.5,"Since I first came to this location when Pasta Pomodoro opened (maybe I'm dating myself), I was skeptical about this new restaurant which took over the...",65.0,"Since I first came to this location when Pasta Pomodoro opened (maybe I'm dating myself), I was skeptical about this new restaurant which took over the...",1489649294.0,9LUWTUJF3PfP-8jn3i_reQ,5.0
sotto-mare-san-francisco,Italian,San Francisco,Sotto Mare,4.5,"The food here was so good. The two orders of food were more than enough for two people. The portions are huge and definitely good. 

The space is a little...",2575.0,I ate here last night.     Most of the reviews I read here before trying appeared positive.   The main downside is they don't take reservations for tables...,1489729933.0,3SF-wO_8uvK7zDshIUqD2w,5.0
baonecci-ristorante-san-francisco,Italian,San Francisco,Baonecci Ristorante,4.5,Went here based on reviews. Had a reservation and for a Friday night that happened to be St Patrick's Day- that was wise.    Located in the North Beach...,804.0,Went here based on reviews. Had a reservation and for a Friday night that happened to be St Patrick's Day- that was wise.    Located in the North Beach...,1489941893.0,LCCNuJ2oBQDRbxSBpVDB2g,5.0
caffe-macaroni-san-francisco-4,Italian,San Francisco,Caffe Macaroni,4.5,Let me preface by saying that Caffe Macaroni is my favorite restaurant in the city and whenever I go there I feel like I'm with family in Italy :). I don't...,404.0,Let me preface by saying that Caffe Macaroni is my favorite restaurant in the city and whenever I go there I feel like I'm with family in Italy :). I don't...,1486238413.0,Sd6uN2kXMiLIJPil7Cmchw,5.0
trattoria-da-vittorio-san-francisco,Italian,San Francisco,Trattoria da Vittorio,4.0,We headed here after another place we wanted to go had a wait of over 2 hours. Parking is indeed atrocious. And they don't take reservations over the phone....,454.0,We headed here after another place we wanted to go had a wait of over 2 hours. Parking is indeed atrocious. And they don't take reservations over the phone....,1488855092.0,YMgZqBUAddmFErxLtCfK_w,5.0
bella-trattoria-san-francisco,Italian,San Francisco,Bella Trattoria,4.0,"Came in without reservations and got sat immediately. The restaurant filled up quickly, but the staff was still very attentive and helpful.

Always get...",1039.0,"Came in without reservations and got sat immediately. The restaurant filled up quickly, but the staff was still very attentive and helpful.

Always get...",1487150068.0,yjsIGqUZivxPZfQtCaBJwg,5.0
capannina-san-francisco,Italian,San Francisco,Capannina,4.0,I first began coming to Capannina back in 2005 when it first opened and have been coming regularly since. I have had so many great memories here it is hard...,729.0,I first began coming to Capannina back in 2005 when it first opened and have been coming regularly since. I have had so many great memories here it is hard...,1475123214.0,gTjbOMjeCrjE7ycy8uil8A,5.0
franchino-san-francisco,Italian,San Francisco,Franchino,4.0,"""What's fresh today?"" That's what my tall, part-Italian date asked as soon as we sat down. This spot is one of his favorites in town. And as the server...",940.0,"""What's fresh today?"" That's what my tall, part-Italian date asked as soon as we sat down. This spot is one of his favorites in town. And as the server...",1488508748.0,IIFUSAByx3fLmpe4h8tJ4g,5.0
barzotto-san-francisco,Italian,San Francisco,BARZOTTO,4.0,"Ok so first time here and on a Monday night the special was ""Italian"" ramen.  It was far and away the best ramen I have had in the city and better than many...",139.0,"Ok so first time here and on a Monday night the special was ""Italian"" ramen.  It was far and away the best ramen I have had in the city and better than many...",1490067750.0,RahWKgHKqThIwmATjT5QEw,5.0
seven-hills-san-francisco,Italian,San Francisco,Seven Hills,4.5,Agree with a reviewer below that all other five-star reviews don't compare to THIS truly five-star experience. Made a reservation through OpenTable a little...,700.0,Agree with a reviewer below that all other five-star reviews don't compare to THIS truly five-star experience. Made a reservation through OpenTable a little...,1489733519.0,WES8gHHcFdQi-XzikXpKWA,5.0
tommasos-ristorante-italiano-san-francisco,Italian,San Francisco,Tommaso's Ristorante Italiano,4.0,"Me and my roommates have made it a new monthly date to come here. The stuffed manicotti is to die for! Also, pizza is incredible! 
Not to mention the family...",1381.0,"Me and my roommates have made it a new monthly date to come here. The stuffed manicotti is to die for! Also, pizza is incredible! 
Not to mention the family...",1489287749.0,tW4XTG4PKc-JEfflsq4L_w,5.0
fino-ristorante-and-bar-san-francisco,Italian,San Francisco,Fino Ristorante & Bar,4.0,"We decided to try Fino out as we were craving Italian, it was relatively close to our hotel, and the reviews looked pretty good. 

Well the reviews were...",881.0,"We decided to try Fino out as we were craving Italian, it was relatively close to our hotel, and the reviews looked pretty good. 

Well the reviews were...",1489725572.0,ra7clD9TnLpBF1uxrnQFXg,5.0
mozzeria-san-francisco,Italian,San Francisco,Mozzeria,4.0,"One of the best authentic pizzerias in SF. Is owned by a deaf couple and operated by deaf staff.

FOOD: 
- Mozzeria bar: an upscale mozzerella stick! Yum!...",555.0,"One of the best authentic pizzerias in SF. Is owned by a deaf couple and operated by deaf staff.

FOOD: 
- Mozzeria bar: an upscale mozzerella stick! Yum!...",1488595526.0,8BWfRKelDjo-7P_QbQ-Kmg,5.0
tonys-pizza-napoletana-san-francisco,Italian,San Francisco,Tony's Pizza Napoletana,4.0,"Best pizza I've ever eaten and best experience eating pizza I've ever had.

We sat at the counter where they make the pizza and we were fortunate enough to...",3382.0,"Stop complaining about the wait...Good food should be worth waiting for.

Been there a few times now, ordered different stuff all times and it is where I go...",1490380404.0,LuOh8LLsC3Z-KHNqE8-S1g,5.0
delfina-san-francisco,Italian,San Francisco,Delfina,4.0,"I like their changing menu. I like their variety of vegetarian dishes on their menus ans they are always thoughtful. Food is hearty and onolicious.

Any...",1815.0,"I like their changing menu. I like their variety of vegetarian dishes on their menus ans they are always thoughtful. Food is hearty and onolicious.

Any...",1481525947.0,R8ZCd4N-QiFaPAWD1gvWzQ,5.0
lupa-trattoria-san-francisco,Italian,San Francisco,Lupa Trattoria,4.0,"After moving to Noe Valley in 2008, Lupa became our go to neighborhood restaurant. Warm, friendly, and a great place to practiced your Italian, we always...",534.0,"After moving to Noe Valley in 2008, Lupa became our go to neighborhood restaurant. Warm, friendly, and a great place to practiced your Italian, we always...",1489629617.0,L06lGNdDqmXILqC3ND27Cg,5.0
fiorella-san-francisco,Italian,San Francisco,Fiorella,4.0,"DAMN this place is good!

We sat in the patio, which is nice. The wallpaper and tiled floor is nice too. I also liked how the outdoor chairs are yellow, I...",157.0,"DAMN this place is good!

We sat in the patio, which is nice. The wallpaper and tiled floor is nice too. I also liked how the outdoor chairs are yellow, I...",1490126756.0,-s4IChK4wC5gbBn8PW91VA,5.0
beretta-san-francisco,Italian,San Francisco,Beretta,4.0,"I had a late-night dinner here. I liked the atmosphere and decor -- it felt warm and lively, though at the same time intimate and not too noisy. Below are...",2960.0,"I had a late-night dinner here. I liked the atmosphere and decor -- it felt warm and lively, though at the same time intimate and not too noisy. Below are...",1489609875.0,JQ_O7ZD_iuLmmRFdFNBMqQ,4.0
ozaoza-san-francisco,Japanese,San Francisco,OzaOza,5.0,"What a beautiful dinner! And everything was delicious as well. 

We made reservations for a Tuesday evening about a week in advance. The restaurant seats...",33.0,"What a beautiful dinner! And everything was delicious as well. 

We made reservations for a Tuesday evening about a week in advance. The restaurant seats...",1490300011.0,2HchhLgGj16aITZGVy0hqA,5.0
kusakabe-san-francisco,Japanese,San Francisco,KUSAKABE,4.5,"This place is amazing. This review is a bit overdue since I came here back in December, but I promised myself I would write a review because it was just...",556.0,"This place is amazing. This review is a bit overdue since I came here back in December, but I promised myself I would write a review because it was just...",1488500250.0,hbuNFSD36RsbqcjLOve9jw,5.0
hashiri-san-francisco,Japanese,San Francisco,Hashiri,4.5,"Folks, this is as good as it gets!

I really hope that this restaurant stays in business.  Yes, I get that it's expensive and out of reach for many diners....",30.0,"Folks, this is as good as it gets!

I really hope that this restaurant stays in business.  Yes, I get that it's expensive and out of reach for many diners....",1489036635.0,-khrbWmeaZDZ6hzTgJ4HpQ,5.0
an-japanese-restaurant-san-francisco-2,Japanese,San Francisco,An Japanese Restaurant,4.5,"High quality no-frills sushi is an expensive habit. I don't know about you, but I sure as hell can't afford $200+ per person for fish and rice on a regular...",72.0,"High quality no-frills sushi is an expensive habit. I don't know about you, but I sure as hell can't afford $200+ per person for fish and rice on a regular...",1487749480.0,s6xZpSHNteqqsLzuC3Jd8A,5.0
ijji-sushi-san-francisco,Japanese,San Francisco,Ijji Sushi,4.5,"Ijji is the first SF $100+ omakase to truly live up to its hype to me. I've tried $100+ omakases at Kusakabe, Pabu, Sushi Ran, and Ichi+Ni but always left...",103.0,"Ijji is the first SF $100+ omakase to truly live up to its hype to me. I've tried $100+ omakases at Kusakabe, Pabu, Sushi Ran, and Ichi+Ni but always left...",1488400254.0,Q9Uqs3EqWTKCo2Vhmzp1zQ,5.0
omakase-san-francisco,Japanese,San Francisco,Omakase,4.5,My fianc? proposed earlier that weekend and surprised me with dinner reservations at Omakase to celebrate. The whole experience was phenomenal beginning to...,207.0,My fianc? proposed earlier that weekend and surprised me with dinner reservations at Omakase to celebrate. The whole experience was phenomenal beginning to...,1488812813.0,wfxveVmIzP7Cz2C36vWsOQ,5.0
ichido-san-francisco-6,Japanese,San Francisco,Ichido,5.0,"Wow! What an experience.
I'm an out of towner and was looking for a great restaurant for my 2 other friends to have a memorable dinner in SFO. And I found...",51.0,"Wow! What an experience.
I'm an out of towner and was looking for a great restaurant for my 2 other friends to have a memorable dinner in SFO. And I found...",1489469179.0,YaGugQM5vxtpzsIXA24Sgw,5.0
tsubasa-sushi-san-francisco,Japanese,San Francisco,Tsubasa Sushi,4.5,"Tsubasa does not ever disappoint. 

We came and dined for dinner and had to have the omakase. See below for more details of our visit. 

- sesame tofu 
- 1....",149.0,"Tsubasa does not ever disappoint. 

We came and dined for dinner and had to have the omakase. See below for more details of our visit. 

- sesame tofu 
- 1....",1489977761.0,mfUrpbt61HIW6K1Aic3KCw,5.0
saru-sushi-bar-san-francisco,Japanese,San Francisco,Saru Sushi Bar,4.5,"Great quality and relatively cheap. 
We came here Saturday night. I saw this place doesn't take reservations, we arrived there at 5. We put the name down...",639.0,"Great quality and relatively cheap. 
We came here Saturday night. I saw this place doesn't take reservations, we arrived there at 5. We put the name down...",1489354864.0,t-xz0UANgS2l_xXYa7J8qw,5.0
takoba-sf-san-francisco,Japanese,San Francisco,Takoba SF,4.5,"Found out about this place when I was looking for good sushi restaurants in the SF downtown district. Takoba popped up at the top, so I asked a friend if he...",186.0,"Found out about this place when I was looking for good sushi restaurants in the SF downtown district. Takoba popped up at the top, so I asked a friend if he...",1488776579.0,8YkvYzOIT-8pKIQNS1j_rg,5.0
hinata-san-francisco,Japanese,San Francisco,Hinata,4.5,"Finally had a chance to try this place. Highly recommended!!!
First of all, the atmosphere of the restaurant is very high-end and luxurious. From the moment...",71.0,"Finally had a chance to try this place. Highly recommended!!!
First of all, the atmosphere of the restaurant is very high-end and luxurious. From the moment...",1488274200.0,cjijoznn9iPpe0npQuXD1Q,5.0
sasaki-san-francisco-2,Japanese,San Francisco,Sasaki,4.5,"I've been a big fan of chef/owner Masaki Sasaki since I first met him at Maruya ~3 years ago, and it's great to see him finally open his own place. The food...",17.0,"I've been a big fan of chef/owner Masaki Sasaki since I first met him at Maruya ~3 years ago, and it's great to see him finally open his own place. The food...",1484634303.0,7t_UVqCR5pk4BJIswcl3xA,5.0
daigo-sushi-san-francisco,Japanese,San Francisco,Daigo Sushi,4.0,"This place is a gem. 

Very well priced sushi and it's soooo gooddddd. I enjoyed everything I tried. 

5 piece omakase - really good but if you know what...",390.0,"This place is a gem. 

Very well priced sushi and it's soooo gooddddd. I enjoyed everything I tried. 

5 piece omakase - really good but if you know what...",1488590407.0,LjTSIzwmbWKodWcupSVAuw,5.0
akira-japanese-restaurant-san-francisco,Japanese,San Francisco,Akira Japanese Restaurant,4.5,"I went there yesterday for dinner.
Service are awesome, the quality of fish is nice.
Green tea mochi ice surprised me. 
Mochi part is soft and the aroma of...",73.0,"I went there yesterday for dinner.
Service are awesome, the quality of fish is nice.
Green tea mochi ice surprised me. 
Mochi part is soft and the aroma of...",1489339712.0,-e8RFTmjY3MYlwrYzXEPXQ,5.0
bon-nene-san-francisco,Japanese,San Francisco,"Bon, Nene",4.0,"It was hot AF, perfect weather for ice cream so when my friend asks where I want to eat, I think of a place close to the newest ice cream shop in the...",60.0,"It was hot AF, perfect weather for ice cream so when my friend asks where I want to eat, I think of a place close to the newest ice cream shop in the...",1489423696.0,yAerUZJKW7bNcYVH-Z3YXQ,5.0
